# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
228864 447 0.00117259251775108
229376 448 0.0011719148878912
229888 449 0.00117123593362388
230400 450 0.00117055574416704
230912 451 0.00116987729455485
231424 452 0.00116920328942283
231936 453 0.00116853334171496
232448 454 0.00116786831640109
232960 455 0.00116721119378127
233472 456 0.00116656337738461
233984 457 0.00116592440331415
234496 458 0.00116529543950079
235008 459 0.00116467974671137
235520 460 0.00116407782128303
236032 461 0.00116348840265709
236544 462 0.00116291390777361
237056 463 0.00116235645809942
237568 464 0.00116181464684739
238080 465 0.00116128876052165
238592 466 0.00116078131154847
239104 467 0.0011602928800683
239616 468 0.00115982290437779
240128 469 0.00115937255866418
240640 470 0.00115894348488729
241152 471 0.00115853538827694
241664 472 0.00115814805122822
242176 473 0.00115778292550076
242688 474 0.00115744000069167
243200 475 0.00115711867931361
243712 476 0.00115682059592518
244224 477 0.00115654626458145
244736 478 0.0011562951917056
245248 479 0.00115606936917212
245760 480 0.00115587010727023
246272 481 0.00115569641533493
246784 482 0.0011555484860852
247296 483 0.00115542774011575
247808 484 0.00115533361518878
248320 485 0.00115526461993025
248832 486 0.00115522172580234
249344 487 0.00115520609951508
249856 488 0.00115521661558747
250368 489 0.00115525257412095
250880 490 0.00115531523125276
251392 491 0.00115540478362178
251904 492 0.00115551887926243
252416 493 0.00115565613335766
252928 494 0.00115581693759709
253440 495 0.00115600020892734
253952 496 0.00115620392237144
254464 497 0.0011564287443421
254976 498 0.00115667602779192
255488 499 0.0011569444040502
256000 500 0.00115723311612243
256512 501 0.00115754297578048
257024 502 0.00115787275992407
257536 503 0.00115822041883051
258048 504 0.00115858521962066
258560 505 0.00115896575964065
259072 506 0.00115935969907761
259584 507 0.00115976589601662
260096 508 0.0011601837525457
260608 509 0.00116061161697835
261120 510 0.00116104849573811
261632 511 0.00116149475558024
262144 512 0.00116194942617703
262656 513 0.00116241106323321
263168 514 0.00116288038900577
263680 515 0.00116335786892477
264192 516 0.0011638419238777
264704 517 0.00116433196199287
265216 518 0.00116482876578664
265728 519 0.00116533125878961
266240 520 0.00116583714945515
266752 521 0.00116634559868196
267264 522 0.00116685627287991
267776 523 0.00116736701291221
268288 524 0.00116787509742276
268800 525 0.0011683800316377
269312 526 0.00116888125405372
269824 527 0.0011693761270893
270336 528 0.00116986335359853
270848 529 0.00117034306884772
271360 530 0.0011708136183434
271872 531 0.00117127264243002
272384 532 0.00117171937441591
272896 533 0.00117215334329651
273408 534 0.00117257304713147
273920 535 0.00117297772727697
274432 536 0.00117336778237941
274944 537 0.0011737428457378
275456 538 0.00117410236259128
275968 539 0.00117444683931513
276480 540 0.00117477609958143
276992 541 0.00117508902819103
277504 542 0.0011753855676554
278016 543 0.00117566544062794
278528 544 0.00117592682571447
279040 545 0.00117616866085777
279552 546 0.00117639106982031
280064 547 0.0011765928978548
