# Scalar ASCII output created by CarpetIOScalar
# created on kop28.datura.admin by hoppese on Aug 01 2013 at 18:36:36+0200
# parameter filename: "/lustre/datura/hoppese/simulations/bbhCart2-AEI_Gauss/output-0000/bbhCart2-AEI_Gauss.par"
# Build ID: build-sim-datura-hoppese-2013.08.01-16.22.29-21953
# Simulation ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
# Run ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
76544 107.64 6638 3 -62 0 0 22 -1862 1799 4 12
76800 108 6638 3 -62 0 0 22 -1852 1790 4 12
77056 108.36 6638 3 -62 0 0 22 1908 85 4 12
77312 108.72 6638 3 -62 0 0 22 1946 82 4 12
77568 109.08 6638 3 -62 0 0 22 1945 112 4 12
77824 109.44 6638 3 -62 0 0 22 1952 135 4 12
78080 109.8 6638 3 -62 0 0 22 -1907 1845 4 12
78336 110.16 6638 3 -62 0 0 22 -1907 1845 4 12
78592 110.52 6638 3 -62 0 0 22 -1945 1883 4 12
78848 110.88 6638 3 -62 0 0 22 -1964 1902 4 12
79104 111.24 6638 3 -62 0 0 22 -2006 1944 4 12
79360 111.6 6638 3 -62 0 0 22 2042 1956 4 12
79616 111.96 6638 3 -62 0 0 22 2040 1992 4 12
79872 112.32 6638 3 -62 0 0 22 2020 1978 4 12
80128 112.68 6638 3 -62 0 0 22 2021 1977 4 12
80384 113.04 6638 3 -62 0 0 22 2037 1996 4 12
80640 113.4 6638 3 -62 0 0 22 2037 1995 4 12
80896 113.76 6638 3 -62 0 0 22 2021 2011 4 12
81152 114.12 6638 3 -62 0 0 22 2004 2029 4 12
81408 114.48 6638 3 -62 0 0 22 1999 2034 4 12
81664 114.84 6638 3 -62 0 0 22 1987 2045 4 12
81920 115.2 6638 3 -62 0 0 22 1987 2045 4 12
82176 115.56 6638 3 -62 0 0 22 1982 544 4 12
82432 115.92 6638 3 -62 0 0 22 1958 567 4 12
82688 116.28 6638 3 -62 0 0 22 1954 572 4 12
82944 116.64 6638 3 -62 0 0 22 1977 548 4 12
83200 117 6638 3 -62 0 0 22 1967 559 4 12
83456 117.36 6638 3 -62 0 0 22 1967 559 4 12
83712 117.72 6638 3 -62 0 0 22 1967 559 4 12
83968 118.08 6638 3 -62 0 0 22 1962 564 4 12
84224 118.44 6638 3 -62 0 0 22 1962 564 4 12
84480 118.8 6638 3 -62 0 0 22 1962 564 4 12
84736 119.16 6638 3 -62 0 0 22 1938 587 4 12
84992 119.52 6638 3 -62 0 0 22 1938 587 4 12
85248 119.88 6638 3 -62 0 0 22 1938 587 4 12
85504 120.24 6638 3 -62 0 0 22 1938 587 4 12
85760 120.6 6638 3 -62 0 0 22 1938 587 4 12
86016 120.96 6638 3 -62 0 0 22 1938 587 4 12
86272 121.32 6638 3 -62 0 0 22 1938 587 4 12
86528 121.68 6638 3 -62 0 0 22 1915 610 4 12
86784 122.04 6638 3 -62 0 0 22 1915 610 4 12
87040 122.4 6638 3 -62 0 0 22 1915 610 4 12
87296 122.76 6638 3 -62 0 0 22 1915 610 4 12
87552 123.12 6638 3 -62 0 0 22 1915 610 4 12
87808 123.48 6638 3 -62 0 0 22 1915 610 4 12
88064 123.84 6638 3 -62 0 0 22 1915 610 4 12
88320 124.2 6638 3 -62 0 0 22 1915 610 4 12
88576 124.56 6638 3 -62 0 0 22 1915 610 4 12
88832 124.92 6638 3 -62 0 0 22 1915 610 4 12
89088 125.28 6638 3 -62 0 0 22 1915 610 4 12
89344 125.64 6638 3 -62 0 0 22 1915 610 4 12
89600 126 6638 3 -62 0 0 22 1915 610 4 12
89856 126.36 6638 3 -62 0 0 22 1915 610 4 12
90112 126.72 6638 3 -62 0 0 22 1915 610 4 12
90368 127.08 6638 3 -62 0 0 22 1915 610 4 12
90624 127.44 6638 3 -62 0 0 22 1915 610 4 12
90880 127.8 6638 3 -62 0 0 22 1915 610 4 12
91136 128.16 6638 3 -62 0 0 22 1915 610 4 12
91392 128.52 6638 3 -62 0 0 22 1915 610 4 12
91648 128.88 6638 3 -62 0 0 22 1915 610 4 12
91904 129.24 6638 3 -62 0 0 22 1915 610 4 12
92160 129.6 6638 3 -62 0 0 22 1915 610 4 12
92416 129.96 6638 3 -62 0 0 22 1915 610 4 12
92672 130.32 6638 3 -62 0 0 22 1915 610 4 12
92928 130.68 6638 3 -62 0 0 22 1915 610 4 12
93184 131.04 6638 3 -62 0 0 22 1915 610 4 12
93440 131.4 6638 3 -62 0 0 22 1915 610 4 12
93696 131.76 6638 3 -62 0 0 22 1915 610 4 12
93952 132.12 6638 3 -62 0 0 22 1915 610 4 12
94208 132.48 6638 3 -62 0 0 22 1915 610 4 12
94464 132.84 6638 3 -62 0 0 22 1915 610 4 12
94720 133.2 6638 3 -62 0 0 22 1915 610 4 12
94976 133.56 6638 3 -62 0 0 22 1915 610 4 12
95232 133.92 6638 3 -62 0 0 22 1915 610 4 12
95488 134.28 6638 3 -62 0 0 22 1915 610 4 12
95744 134.64 6638 3 -62 0 0 22 1915 610 4 12
96000 135 6638 3 -62 0 0 22 1915 610 4 12
96256 135.36 6638 3 -62 0 0 22 1915 610 4 12
96512 135.72 6638 3 -62 0 0 22 1915 610 4 12
96768 136.08 6638 3 -62 0 0 22 1915 610 4 12
97024 136.44 6638 3 -62 0 0 22 1915 610 4 12
